cadeia,latitude,longitude,referencia_cadastral,uso_cadastral,area_edificio_m2,contexto,status_volta,motivo,fonte_area
Dia,43.0792442,-1.9185353,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,38.6427128,-3.4608226,0074122VH6707S,4_2_retail,647.3,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.588237,-7.64018,1612812PH1111S,1_residential,531.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.4218024,2.2048464,3660903DF3836B,1_residential,774.6,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,38.0118191,-1.0321853,2892407XH7029S,4_2_retail,517.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.6409812,-0.8919658,5622601XM7152D,1_residential,364.1,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,28.103725,-15.4539802,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,37.7955289,-7.1890877,9548401PB5894N,1_residential,417.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.2582394,-8.7871263,7687605NG1778N,1_residential,1383.8,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,38.3875756,-0.4110329,6322009YH2562S,1_residential,335.9,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,41.3404128,2.0438559,0071402DF2707A,1_residential,1493.9,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.6490528,-0.8974624,5231803XM7153A,1_residential,474.8,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,28.1154256,-15.4214497,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,42.4155997,1.1320827,6477033CG4967N,1_residential,301.0,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,41.3101318,2.0143624,7538103DF1773H,4_2_retail,361.3,Loja/edifício pequeno,Improvável,Implantação cadastral inferior a 400 m²,Catastro INSPIRE BU
Dia,41.6726444,-0.8772232,6758802XM7165H,1_residential,1543.7,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.4146393,-3.7065253,0142803VK4704A,1_residential,482.3,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.5449187,-6.6156871,5932102PH9153S,4_2_retail,842.4,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.9040724,-8.3643951,2105309NH5520N,4_2_retail,710.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.6647217,-0.8840322,6350105XM7164G,1_residential,5164.4,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
Dia,43.3241977,-3.0229081,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,40.6231864,-4.0249177,3475406VK1937N,4_2_retail,1199.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,36.8286269,-2.4489077,9362001WF4796S,1_residential,1319.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,41.5091115,-1.4017269,3466214XL3936N,1_residential,925.4,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.696195,-6.5160167,3602043QH0330N,4_2_retail,464.6,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.9902739,0.9217616,5599811CF2359G,1_residential,631.1,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,38.4514635,-2.0442227,3465708WH8536N,1_residential,543.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.8064066,-1.6507051,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Dia,41.8295639,-3.0656248,4610903VM9341S,1_residential,664.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.0101223,-3.0141278,8991605VK9289B,1_residential,652.4,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,40.4453007,-3.699261,0776506VK4707F,1_residential,2985.4,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,37.3726194,-5.9969106,4707008TG3440N,1_residential,627.2,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,37.3149654,-6.832395,2122701PB9322S,1_residential,1237.3,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,36.8431846,-2.4475568,9378601WF4797N,1_residential,661.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,42.6295078,-0.322346,9733938YN1293S,1_residential,587.9,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Dia,36.8386928,-2.4514694,9073002WF4797S,1_residential,2130.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
